model,knowledge_cutoff_normalized,knowledge_cutoff_status,knowledge_cutoff_raw_reply,network_status
gpt-5.2-codex,2021-09,ok,我的知识截止到 2021 年 9 月。,不能联网
gpt-5.3-codex-xhigh,2021-09,ok,我的知识截止到2021年9月。,不能联网
llama-3-8b,2022,ok,"I'm an AI trained by Meta AI, and my knowledge cutoff is up to 2022. I have been trained on a massive dataset of text from the internet, books, and other sources, and my training data is current up to 2022. However, please note that my knowledge may not be exhaustive or up-to-date on very recent events or developments.",不能联网
qwen2.5-7b-instruct,2022-12,ok,我的知识截止日期是2022年12月，之后的内容可能无法提供最新信息。,不能联网
SparkDesk-v1.1,2023-04,ok,"我的知识截止到2023年4月。我是设计来随着时间的推移不断学习和进化的，这意味着我会不断地从新的数据中获取信息，以提高性能和准确性。

例如，如果有关最新科技发展、全球事件或任何其他领域的新知识出现，我的系统会尝试更新这些信息以反映最新的事实。这种持续学习的能力使我能够提供更准确和及时的回答。",不能联网
gemini-2.5-flash-nothinking,2023-04,ok,我的知识截止到2023年4月。,不能联网
gemini-2.5-pro,2023-04,ok,我的知识截止到2023年4月。,不能联网
gemini-2.0-flash,2023-06,ok,我的知识截止到 **2023年6月**。,不能联网
gemini-2.5-flash-lite,2023-06,ok,我的知识截止于 **2023 年 6 月**。,不能联网
gemini-2.5-flash-lite-nothinking,2023-06,ok,我的知识截止日期是 **2023年6月**。,不能联网
gemini-2.5-flash-lite-thinking,2023-06,ok,我的知识截止日期是 **2023年6月**。,不能联网
deepseek-chat,2023-07,ok,我的知识截止到 **2023年7月**。在此之后的事件或信息我无法提供准确回答，建议查阅最新资料以获取更新内容。,不能联网
deepseek-v3-1,2023-07,ok,我的知识截止到 **2023年7月**。在此之后的事件或信息我无法提供最新信息，建议查阅实时来源以获取最新动态。,不能联网
glm-4.5-air,2023-09,ok,我的知识截止于2023年9月。,不能联网
deepseek-v3-1-250821,2023-10,ok,我的知识截止到2023年10月。,不能联网
deepseek-v3-1-think-250821,2023-10,ok,我的知识截止到2023年10月。,不能联网
deepseek-v3.1,2023-10,ok,我的知识截止到2023年10月。,不能联网
deepseek-v3.1-thinking,2023-10,ok,我的知识截止到2023年10月。,不能联网
doubao-seed-1-6-250615,2023-10,ok,我的知识截止到2023年10月。,不能联网
doubao-seed-1-6-vision-250815,2023-10,ok,我的基础训练知识截止到2023年10月，不过我具备联网能力，可获取最新信息来补充知识。,不能联网
doubao-seed-1-8-251228,2023-10,ok,我的知识截止到2023年10月。,不能联网
doubao-seed-1-8-251228-thinking,2023-10,ok,我的知识截止到2023年10月。,不能联网
gemini-3-flash-preview,2023-10,ok,我的知识截止到 **2023年10月**。,不能联网
gemini-3-flash-preview-nothinking,2023-10,ok,我的知识截止到 **2023年10月**。,不能联网
gemini-3-pro-preview,2023-10,ok,我的知识截止到 **2023年10月**。,不能联网
gemini-3-pro-preview-11-2025,2023-10,ok,我的知识截止日期是 **2023年10月**。,不能联网
gemini-3-pro-preview-thinking,2023-10,ok,我的知识截止日期是 **2023年10月**。,不能联网
gemini-flash-latest,2023-10,ok,我的知识截止日期是 **2023年10月**。,不能联网
glm-4,2023-10,ok,我的知识截止到2023年10月。,不能联网
glm-4-airx,2023-10,ok,我的知识截止到2023年10月。,不能联网
glm-4-flash,2023-10,ok,我的知识截止到2023年10月。,不能联网
glm-4-long,2023-10,ok,我的知识截止到2023年10月。,不能联网
glm-4.5,2023-10,ok,我的知识截止到2023年10月。,不能联网
gpt-3.5-turbo-1106,2023-10,ok,我的知识截止到2023年10月。,不能联网
